NaN,NaN
0.1924,5.67
-0.115,5.5151
-0.3919,5.3602
-0.6571,5.1959
-0.8871,5.1513
-1.2626,5.0621
-1.4175,5.0081
-1.5606,4.8744
-1.7367,4.7758
-1.9361,4.6866
-2.199,4.7875
-2.4102,4.8744
-2.5956,4.9307
-2.7716,4.9518
NaN,NaN
-2.7716,4.9518
-2.8608,4.9636
-3.0039,4.9753
-3.302,5.0527
-3.6118,5.1067
-3.8324,5.1842
-4.2384,5.163
-4.6796,5.1067
-5.1982,5.041
-5.3414,5.0081
-5.4306,5.0175
-5.5855,4.9847
-5.8483,4.919
-6.0806,4.7969
-6.2238,4.7547
-6.4444,4.6772
-6.6439,4.5998
-6.787,4.5435
-6.8739,4.4895
-7.1062,4.3886
-7.294,4.2783
-7.4911,4.2572
NaN,NaN
-7.4911,4.2572
-7.524,4.2454
-7.7352,4.3346
-8.1646,4.4895
-8.4838,4.5881
-8.8358,4.8087
-9.1128,5.0081
-9.4648,5.339
-9.8074,5.6817
NaN,NaN
-9.8074,5.6817
-10.0046,5.846
-10.204,5.9891
-10.4129,6.0783
-10.5232,6.1323
-10.6452,6.2543
-10.8001,6.3646
-10.887,6.3857
-11.009,6.4092
-11.0958,6.496
-11.1522,6.5078
-11.185,6.5618
-11.1968,6.5946
-11.1522,6.6063
-11.131,6.6392
-11.1639,6.6721
-11.3071,6.7612
-11.3516,6.8035
NaN,NaN
-11.3516,6.8035
-11.4619,6.8927
-11.7905,7.0475
-12.1214,7.179
-12.2998,7.2564
-12.342,7.3221
-12.3655,7.4535
-12.5626,7.6413
-12.7058,7.7281
-12.7738,7.8056
-12.7949,8.0356
-12.9052,8.1224
-13.0367,8.1224
-13.0695,8.2656
-13.0484,8.3641
-12.971,8.4744
-12.9827,8.4955
-13.0813,8.5519
-13.1141,8.6927
-13.093,8.803
-13.1141,8.857
-13.1704,8.9227
-13.1798,9.0118
NaN,NaN
-13.1798,9.0118
-13.1916,9.0212
-13.2479,9.1761
-13.3253,9.263
-13.391,9.3615
-13.5225,9.4812
-13.5553,9.6126
-13.6539,9.6783
-13.7548,9.798
-13.9191,9.9388
-14.0294,9.9717
NaN,NaN
-12.4312,7.4981
-12.4523,7.4864
-12.5415,7.531
-12.6518,7.4864
-12.7621,7.4864
-12.7058,7.409
-12.5861,7.3667
-12.4852,7.3761
-12.4312,7.4981
NaN,NaN
-49.9172,-0.0188
-49.774,0.0047
-49.7623,0.1361
-49.8632,0.2253
NaN,NaN
-50.0275,0.9575
-49.95,1.0561
-49.9735,1.2133
-49.9618,1.3001
-49.8843,1.4785
-49.8632,1.732
NaN,NaN
-59.7082,8.2773
-59.7739,8.3101
-59.9053,8.4627
NaN,NaN
-57.0609,5.792
-57.1173,5.9023
-57.1619,6.0666
-57.2722,6.266
-57.3919,6.3083
-57.5467,6.4421
-57.657,6.5852
-57.7673,6.7049
-57.9879,6.8363
-58.2086,6.8715
-58.3963,6.8363
-58.5066,6.8035
-58.5183,6.8035
-58.4831,6.9044
-58.462,7.0147
-58.462,7.1555
-58.4949,7.355
-58.5723,7.5075
-58.6498,7.6061
-58.7694,7.7164
-58.9478,7.8478
-59.1684,8.0238
-59.3562,8.221
-59.5204,8.3195
-59.6425,8.3759
-59.6425,8.3195
-59.6425,8.2656
-59.6964,8.2984
-59.7082,8.2773
NaN,NaN
-54.0288,5.4822
-54.0288,5.5479
-53.9749,5.7357
-53.9866,5.792
-54.3832,5.9351
-54.7798,5.968
-55.0004,5.968
-55.045,5.9563
-55.1107,5.8694
-55.3079,5.8906
-55.6176,5.9117
-55.8054,5.8577
-55.904,5.8014
-55.9251,5.8248
-56.2795,5.8342
-56.5001,5.9023
-56.7746,5.9563
-56.8638,6.0126
-56.9295,5.9563
-56.9741,5.8577
-57.0609,5.792
NaN,NaN
-51.5928,4.0694
-51.5811,4.1351
-51.5717,4.2994
-51.7594,4.5317
-51.8252,4.5106
-52.034,4.7312
-52.1655,4.8415
-52.2335,4.9307
-52.4541,5.1067
-52.7404,5.2616
-53.0479,5.3836
-53.3013,5.4822
-53.5125,5.5385
-53.5994,5.5808
-53.7425,5.7145
-53.7988,5.7239
-53.9092,5.5479
-54.0288,5.4822
NaN,NaN
-50.1941,0.4576
-50.2481,0.413
-50.3373,0.3145
-50.3373,0.2042
-50.2152,0.0587
-50.0486,0.0375
NaN,NaN
-49.8632,0.2253
-50.0064,0.2488
-50.1261,0.3356
-50.1941,0.4576
NaN,NaN
-50.931,-0.007
-50.7339,0.2136
-50.579,0.3262
-50.4358,0.5257
-50.2809,0.7017
-50.1589,0.7698
-50.0275,0.9575
NaN,NaN
-49.8632,1.732
-50.0838,1.8
-50.3467,1.8094
-50.4452,1.9103
-50.4687,2.0206
-50.5555,2.2858
-50.6658,2.6191
-50.8207,2.9946
-50.931,3.3372
-50.9639,3.6259
-50.9639,3.7808
-51.0531,3.9356
-51.1962,4.1351
-51.2948,4.2337
-51.3628,4.2783
-51.384,4.29
-51.4051,4.1891
-51.4825,4.0577
-51.5928,4.0694
NaN,NaN
-59.9053,8.4627
-60.0273,8.5613
-60.1822,8.5941
-60.2808,8.5847
-60.5014,8.4087
-60.6328,8.4627
-60.7783,8.4862
-60.9426,8.5073
-60.9543,8.5847
-60.8206,8.5847
-60.6774,8.6716
-60.6446,8.7819
-60.7337,8.7584
-60.7431,8.9227
-60.8206,9.2395
-60.9215,9.4155
-61.1632,9.5469
-61.3721,9.5915
-61.3956,9.6009
-61.473,9.6783
-61.5598,9.6995
-61.649,9.7652
-61.7265,9.798
-61.7358,9.8098
-61.7922,9.852
-61.8039,9.852
-61.8579,9.8426
-62.0222,9.8755
-62.1325,9.8755
-62.2662,9.798
-62.4094,9.8966
NaN,NaN
-80.0388,9.0658
-79.9942,9.0869
-79.8839,9.1104
-79.8511,9.2395
-79.8628,9.4695
-79.7196,9.5915
-79.4873,9.6126
-79.255,9.6126
-79.1564,9.6009
-79.1118,9.5469
-78.9358,9.5023
-78.7269,9.4695
-78.5274,9.4155
-78.2975,9.3615
-78.098,9.2512
-77.9548,9.1315
-77.8328,9.0212
-77.7131,8.9344
-77.5699,8.7819
NaN,NaN
-77.9008,7.2447
-78.0651,7.409
-78.2294,7.5967
-78.3632,7.9041
-78.3397,8.0684
-78.2975,8.2984
-78.1965,8.3759
-78.0651,8.3759
-78.1872,8.4862
-78.4406,8.4298
-78.5838,8.627
-78.8372,8.7912
-79.079,8.9227
-79.3441,8.9673
-79.6422,8.857
-79.7408,8.6833
-79.9074,8.4298
NaN,NaN
-77.9008,7.2447
-77.9008,7.2001
-77.8445,7.1015
-77.746,6.9372
-77.7225,6.8598
-77.6357,6.7166
-77.4808,6.6721
-77.415,6.5852
-77.415,6.4092
-77.4244,6.266
-77.4808,6.144
-77.4244,5.9351
-77.3705,5.792
-77.3705,5.67
-77.4362,5.6136
-77.5254,5.5268
-77.5019,5.5151
-77.469,5.339
-77.4479,5.0081
-77.3916,4.7641
-77.3587,4.6327
-77.3705,4.4778
-77.4596,4.29
-77.4925,4.1023
-77.4596,3.9356
-77.415,3.8582
-77.3259,3.8582
-77.0841,3.9028
-76.9504,3.9568
-77.0607,3.7479
-77.1381,3.6822
-77.2273,3.5484
-77.3705,3.4053
-77.4808,3.295
-77.5347,3.1612
-77.6357,3.0626
-77.6802,2.9077
-77.7671,2.7176
-77.8563,2.6637
-78.0323,2.6073
-78.1543,2.6191
-78.3843,2.5745
-78.4617,2.5627
-78.5838,2.3985
-78.6378,2.253
-78.6823,2.1215
-78.6612,1.9314
-78.6284,1.8329
-78.6284,1.8
-78.7152,1.8
-78.8255,1.7437
-78.9687,1.6334
-78.9921,1.6123
-78.9921,1.4785
-78.9241,1.4128
-78.8818,1.3776
NaN,NaN
-78.8701,1.3776
-78.8912,1.3119
-79.0015,1.2344
-79.1893,1.1124
-79.4333,1.0138
-79.5859,0.9012
-79.6422,0.812
-79.8299,0.8237
NaN,NaN
-75.6714,10.0163
-75.6831,9.9083
-75.6831,9.8098
-75.6831,9.6666
-75.6948,9.5469
-75.8262,9.4366
-75.9811,9.4155
-76.1478,9.3498
-76.2463,9.1972
-76.3449,8.9884
-76.5444,8.8476
